,PERSON_ID,FIRST_NAME,LAST_NAME,HEIGHT,WEIGHT
0,1630173,Precious,Achiuwa,6-8,225
0,1629121,Jaylen,Adams,6-0,225
0,203500,Steven,Adams,6-11,265
0,1628389,Bam,Adebayo,6-9,255
0,1630534,Ochai,Agbaji,6-5,215
0,1630583,Santi,Aldama,7-0,215
0,200746,LaMarcus,Aldridge,6-11,250
0,1630234,Ty-Shon,Alexander,6-3,195
0,1629638,Nickeil,Alexander-Walker,6-5,205
0,1628960,Grayson,Allen,6-4,198
0,1628386,Jarrett,Allen,6-9,243
0,1630631,Jose,Alvarado,6-0,179
0,202329,Al-Farouq,Aminu,6-8,220
0,1626147,Justin,Anderson,6-5,231
0,203937,Kyle,Anderson,6-9,230
0,203507,Giannis,Antetokounmpo,7-0,243
0,1628961,Kostas,Antetokounmpo,6-10,200
0,203648,Thanasis,Antetokounmpo,6-7,219
0,2546,Carmelo,Anthony,6-7,238
0,1630175,Cole,Anthony,6-3,185
0,1628384,O.G.,Anunoby,6-7,232
0,1627853,Ryan,Arcidiacono,6-3,195
0,2772,Trevor,Ariza,6-8,215
0,201571,D.J.,Augustin,5-11,183
0,1630166,Deni,Avdija,6-9,210
0,1630555,Joel,Ayayi,6-4,180
0,1629028,Deandre,Ayton,7-0,250
0,1628962,Udoka,Azubuike,6-11,270
0,1628407,Dwayne,Bacon,6-6,221
0,1628963,Marvin,Bagley III,6-10,235
0,1631116,Patrick,Baldwin Jr.,6-9,220
0,1630163,LaMelo,Ball,6-7,180
0,1628366,Lonzo,Ball,6-6,190
0,1628964,Mo,Bamba,7-0,231
0,1631094,Paolo,Banchero,6-10,250
0,1630217,Desmond,Bane,6-5,215
0,1630625,Dalano,Banton,6-7,204
0,1627760,Cat,Barber,6-1,173
0,1631230,Dominick,Barlow,6-9,215
0,203084,Harrison,Barnes,6-8,225
0,1630567,Scottie,Barnes,6-8,225
0,1629628,RJ,Barrett,6-6,214
0,203115,Will,Barton,6-5,181
0,1628238,Paris,Bass,6-8,200
0,1629646,Charles,Bassey,6-9,230
0,1628966,Keita,Bates-Diop,6-8,229
0,201587,Nicolas,Batum,6-8,230
0,203382,Aron,Baynes,6-10,260
0,203145,Kent,Bazemore,6-4,195
0,1629647,Darius,Bazley,6-9,216
0,203078,Bradley,Beal,6-4,207
0,1627736,Malik,Beasley,6-4,187
0,1630699,MarJon,Beauchamp,6-7,199
0,1628395,Jordan,Bell,6-7,216
0,1627761,DeAndre',Bembry,6-5,210
0,202722,Davis,Bertans,6-10,225
0,201976,Patrick,Beverley,6-2,180
0,1630180,Saddiq,Bey,6-7,215
0,1630189,Tyler,Bey,6-7,215
0,203920,Khem,Birch,6-8,233
0,1629048,Goga,Bitadze,6-11,250
0,202687,Bismack,Biyombo,6-8,255
0,202357,Nemanja,Bjelica,6-9,234
0,202339,Eric,Bledsoe,6-1,214
0,1629833,Keljin,Blevins,6-4,200
0,1631205,Buddy,Boeheim,6-6,205
0,203992,Bogdan,Bogdanovic,6-5,225
0,202711,Bojan,Bogdanovic,6-7,226
0,1629626,Bol,Bol,7-2,220
0,1629716,Marques,Bolden,6-10,249
0,1630195,Leandro,Bolmaro,6-6,200
0,1629648,Jordan,Bone,6-2,180
0,1629067,Isaac,Bonga,6-8,180
0,1626164,Devin,Booker,6-5,206
