,TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,NICKNAME,HOW_ACQUIRED
0,1610612737,2022,00,Frank Kaminsky,frank-kaminsky,0,F-C,7-0,240,"APR 04, 1993",29.0,7,Wisconsin,1626163,Frank,Signed on 07/11/22
1,1610612737,2022,00,Jalen Johnson,jalen-johnson,1,F,6-8,219,"DEC 18, 2001",20.0,1,Duke,1630552,Jalen,#20 Pick in 2021 Draft
2,1610612737,2022,00,Trent Forrest,trent-forrest,2,G,6-4,210,"JUN 12, 1998",24.0,2,Florida State,1630235,Trent,Signed on 08/08/22
3,1610612737,2022,00,Aaron Holiday,aaron-holiday,3,G,6-0,185,"SEP 30, 1996",26.0,4,UCLA,1628988,Aaron,Signed on 07/06/22
4,1610612737,2022,00,Dejounte Murray,dejounte-murray,5,G,6-5,180,"SEP 19, 1996",26.0,5,Washington,1627749,Dejounte,Traded from SAS on 06/30/22
5,1610612737,2022,00,Jarrett Culver,jarrett-culver,7,G-F,6-6,195,"FEB 20, 1999",23.0,3,Texas Tech,1629633,Jarrett,Signed on 09/12/22
6,1610612737,2022,00,Justin Holiday,justin-holiday,8,F-G,6-6,180,"APR 05, 1989",33.0,9,Washington,203200,Justin,Traded from SAC on 07/06/22
7,1610612737,2022,00,Trae Young,trae-young,11,G,6-1,164,"SEP 19, 1998",24.0,4,Oklahoma,1629027,Trae,Draft Rights Traded from DAL on 06/21/18
8,1610612737,2022,00,De'Andre Hunter,deandre-hunter,12,F-G,6-8,221,"DEC 02, 1997",24.0,3,Virginia,1629631,De'Andre,Draft Rights Traded from NOP on 07/07/19
9,1610612737,2022,00,Bogdan Bogdanovic,bogdan-bogdanovic,13,G,6-5,225,"AUG 18, 1992",30.0,5,Fenerbahce,203992,Bogdan,Signed on 11/25/20
10,1610612737,2022,00,AJ Griffin,aj-griffin,14,F,6-6,220,"AUG 25, 2003",19.0,R,Duke,1631100,AJ,#16 Pick in 2022 Draft
11,1610612737,2022,00,Clint Capela,clint-capela,15,C,6-10,256,"MAY 18, 1994",28.0,8,Elan Chalon,203991,Clint,Traded from HOU on 02/05/20
12,1610612737,2022,00,Onyeka Okongwu,onyeka-okongwu,17,F-C,6-9,240,"DEC 11, 2000",21.0,2,Southern California,1630168,Onyeka,#6 Pick in 2020 Draft
13,1610612737,2022,00,John Collins,john-collins,20,F-C,6-9,226,"SEP 23, 1997",25.0,5,Wake Forest,1628381,John,#19 Pick in 2017 Draft
14,1610612737,2022,00,Tyrese Martin,tyrese-martin,22,G,6-6,215,"MAR 07, 1999",23.0,R,Connecticut,1631213,Tyrese,Draft Rights Traded from GSW on 06/24/22
15,1610612737,2022,00,Vit Krejci,vit-krejci,27,G,6-8,195,"JUN 19, 2000",22.0,1,Zaragoza,1630249,Vit,Traded from OKC on 09/27/22
0,1610612738,2022,00,Jayson Tatum,jayson-tatum,0,F-G,6-8,210,"MAR 03, 1998",24.0,5,Duke,1628369,Jayson,#3 Pick in 2017 Draft
1,1610612738,2022,00,Noah Vonleh,noah-vonleh,4,F,6-10,257,"AUG 24, 1995",27.0,7,Indiana,203943,Noah,Signed on 09/07/22
2,1610612738,2022,00,Jaylen Brown,jaylen-brown,7,G-F,6-6,223,"OCT 24, 1996",26.0,6,California,1627759,Jaylen,#3 Pick in 2016 Draft
3,1610612738,2022,00,Danilo Gallinari,danilo-gallinari,8,F,6-10,236,"AUG 08, 1988",34.0,13,Olimpia Milano,201568,Danilo,Signed on 07/12/22
4,1610612738,2022,00,Derrick White,derrick-white,9,G,6-4,190,"JUL 02, 1994",28.0,5,Colorado,1628401,Derrick,Traded from SAS on 02/10/22
5,1610612738,2022,00,Payton Pritchard,payton-pritchard,11,G,6-1,195,"JAN 28, 1998",24.0,2,Oregon,1630202,Payton,#26 Pick in 2020 Draft
6,1610612738,2022,00,Grant Williams,grant-williams,12,F,6-6,236,"NOV 30, 1998",23.0,3,Tennessee,1629684,Grant,#22 Pick in 2019 Draft
7,1610612738,2022,00,Malcolm Brogdon,malcolm-brogdon,13,G,6-4,229,"DEC 11, 1992",29.0,6,Virginia,1627763,Malcolm,Traded from IND on 07/09/22
8,1610612738,2022,00,JD Davison,jd-davison,20,G,6-1,195,"OCT 03, 2002",20.0,R,Alabama,1631120,JD,#53 Pick in 2022 Draft
